rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
117,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",1,110,53,"2477094"
118,"spotify:track:5ihS6UUlyQAfmp48eSkxuQ","Fleetwood Mac","Landslide","Warner Records",109,117,5,"2473380"
119,"spotify:track:3luic5gdP19rj3dZVNXFTE","Laufey","Snow White","Vingolf Recordings",119,-1,1,"2444981"
120,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,113,34,"2416514"
121,"spotify:track:7JjciUzSALsonXv6MukgrP","BigXthaPlug, Jelly Roll","Box Me Up (feat. Jelly Roll)","BigXthaPlug under exclusive license to UnitedMasters LLC",121,-1,1,"2400216"
122,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",2,118,148,"2398677"
123,"spotify:track:0eaVIYo2zeOaGJeqZ5TwYz","Don Toliver","No Pole","Cactus Jack / Atlantic",25,128,45,"2387194"
124,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",46,116,28,"2385368"
125,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",57,112,122,"2381676"
126,"spotify:track:0bxPRWprUVpQK0UFcddkrA","Kehlani","Folded","TSNMI / Atlantic",119,119,4,"2378522"
127,"spotify:track:0M955bMOoilikPXwKLYpoi","Three Days Grace","I Hate Everything About You","Jive",122,122,18,"2359805"
128,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,114,34,"2359735"
129,"spotify:track:6ouhsRJ7gExB7LCYjITk4Y","Addison Rae","Diet Pepsi","Columbia",35,132,19,"2351856"
130,"spotify:track:0t3pcqgBjuAVBgY2oEUIlH","Chris Brown, Bryson Tiller","It Depends (feat. Bryson Tiller)","Chris Brown Entertainment/RCA Records",76,103,5,"2341450"
131,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Lord Huron",48,140,152,"2338678"
132,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",18,144,84,"2330811"
